ensembl_gene_id	external_gene_id	refseq_mrna
ENSMUSG00000052760	A630001G21Rik	NM_177055
ENSMUSG00000035173	A630007B06Rik	NM_170757
ENSMUSG00000054293	A630033H20Rik	NM_175442
ENSMUSG00000054293	A630033H20Rik	NM_001122596
ENSMUSG00000054293	A630033H20Rik	NM_001122595
ENSMUSG00000044060	A830010M20Rik	NM_001168557
ENSMUSG00000044060	A830010M20Rik	NM_001007574
ENSMUSG00000057715	A830018L16Rik	NM_177173
ENSMUSG00000057715	A830018L16Rik	NM_001160369
ENSMUSG00000057715	A830018L16Rik	NM_001160370
ENSMUSG00000057715	A830018L16Rik	NM_001160371
ENSMUSG00000044150	A830080D01Rik	NM_001033472
ENSMUSG00000087385	AA415398	NM_001004178
ENSMUSG00000058093	AA987161	NM_001163246
ENSMUSG00000036678	Aaas	NM_153416
ENSMUSG00000029482	Aacs	NM_030210
ENSMUSG00000021482	Aaed1	NM_025370
ENSMUSG00000037257	Aagab	NM_025857
ENSMUSG00000057230	Aak1	NM_001040106
ENSMUSG00000057230	Aak1	NM_177762
ENSMUSG00000006299	Aamp	NM_001190444
ENSMUSG00000006299	Aamp	NM_146110
ENSMUSG00000031960	Aars	NM_028274
ENSMUSG00000031960	Aars	NM_146217
ENSMUSG00000055923	Aasdh	NM_173765
ENSMUSG00000025894	Aasdhppt	NM_026276
ENSMUSG00000029695	Aass	NM_013930
ENSMUSG00000018697	Aatf	NM_019816
ENSMUSG00000025375	Aatk	NM_001198785
ENSMUSG00000025375	Aatk	NM_007377
ENSMUSG00000025375	Aatk	NM_001198787
ENSMUSG00000093789	AB099516	NM_001024672
ENSMUSG00000093789	AB099516	NM_001002900
ENSMUSG00000057191	AB124611	NM_001198794
ENSMUSG00000057191	AB124611	NM_206536
ENSMUSG00000026944	Abca2	NM_007379
ENSMUSG00000024130	Abca3	NM_013855
ENSMUSG00000024130	Abca3	NM_001039581
ENSMUSG00000035722	Abca7	NM_013850
ENSMUSG00000031974	Abcb10	NM_019552
ENSMUSG00000026198	Abcb6	NM_023732
ENSMUSG00000031333	Abcb7	NM_009592
ENSMUSG00000029408	Abcb9	NM_019875
ENSMUSG00000023088	Abcc1	NM_008576
ENSMUSG00000032849	Abcc4	NM_001033336
ENSMUSG00000032849	Abcc4	NM_001163675
ENSMUSG00000032849	Abcc4	NM_001163676
ENSMUSG00000022822	Abcc5	NM_013790
ENSMUSG00000022822	Abcc5	NM_176839
ENSMUSG00000030249	Abcc9	NM_011511
ENSMUSG00000030249	Abcc9	NM_021041
ENSMUSG00000030249	Abcc9	NM_001044720
ENSMUSG00000030249	Abcc9	NM_021042
ENSMUSG00000031378	Abcd1	NM_007435
ENSMUSG00000055782	Abcd2	NM_011994
ENSMUSG00000028127	Abcd3	NM_008991
ENSMUSG00000021240	Abcd4	NM_008992
ENSMUSG00000058355	Abce1	NM_015751
ENSMUSG00000003234	Abcf3	NM_013852
ENSMUSG00000024030	Abcg1	NM_009593
ENSMUSG00000029802	Abcg2	NM_011920
ENSMUSG00000032131	Abcg4	NM_138955
ENSMUSG00000033157	Abhd10	NM_172511
ENSMUSG00000040532	Abhd11	NM_001190437
ENSMUSG00000040532	Abhd11	NM_145215
ENSMUSG00000032046	Abhd12	NM_024465
ENSMUSG00000040396	Abhd13	NM_026868
ENSMUSG00000040396	Abhd13	NM_001081119
ENSMUSG00000042210	Abhd14a	NM_001110271
ENSMUSG00000042210	Abhd14a	NM_145919
ENSMUSG00000042210	Abhd14a	NM_001110272
ENSMUSG00000042073	Abhd14b	NM_029631
ENSMUSG00000007036	Abhd16a	NM_178592
ENSMUSG00000003346	Abhd17a	NM_145421
ENSMUSG00000047368	Abhd17b	NM_146096
ENSMUSG00000038459	Abhd17c	NM_133722
ENSMUSG00000039202	Abhd2	NM_018811
ENSMUSG00000002475	Abhd3	NM_134130
ENSMUSG00000040997	Abhd4	NM_134076
ENSMUSG00000040997	Abhd4	NM_001205181
ENSMUSG00000025277	Abhd6	NM_025341
ENSMUSG00000007950	Abhd8	NM_022419
ENSMUSG00000058835	Abi1	NM_145994
ENSMUSG00000058835	Abi1	NM_007380
ENSMUSG00000058835	Abi1	NM_001077192
ENSMUSG00000058835	Abi1	NM_001077190
ENSMUSG00000058835	Abi1	NM_001077193
ENSMUSG00000026782	Abi2	NM_198127
ENSMUSG00000018381	Abi3	NM_001163464
ENSMUSG00000018381	Abi3	NM_025659
ENSMUSG00000026842	Abl1	NM_001112703
ENSMUSG00000026842	Abl1	NM_009594
ENSMUSG00000026596	Abl2	NM_009595
ENSMUSG00000026596	Abl2	NM_001136104
ENSMUSG00000025085	Ablim1	NM_178688
ENSMUSG00000025085	Ablim1	NM_001103177
ENSMUSG00000025085	Ablim1	NM_001103178
ENSMUSG00000032735	Ablim3	NM_198649
ENSMUSG00000032735	Ablim3	NM_001164491
ENSMUSG00000078453	Abracl	NM_028440
ENSMUSG00000030083	Abtb1	NM_030251
ENSMUSG00000032724	Abtb2	NM_178890
ENSMUSG00000036138	Acaa1a	NM_130864
ENSMUSG00000010651	Acaa1b	NM_146230
ENSMUSG00000036880	Acaa2	NM_177470
ENSMUSG00000020532	Acaca	NM_133360
ENSMUSG00000029456	Acad10	NM_028037
ENSMUSG00000090150	Acad11	NM_175324
ENSMUSG00000042647	Acad12	NM_178799
ENSMUSG00000031969	Acad8	NM_025862
ENSMUSG00000027710	Acad9	NM_172678
ENSMUSG00000026003	Acadl	NM_007381
ENSMUSG00000062908	Acadm	NM_007382
ENSMUSG00000030861	Acadsb	NM_025826
ENSMUSG00000018574	Acadvl	NM_017366
ENSMUSG00000001588	Acap1	NM_153788
ENSMUSG00000049076	Acap2	NM_030138
ENSMUSG00000029033	Acap3	NM_207223
ENSMUSG00000032047	Acat1	NM_144784
ENSMUSG00000023832	Acat2	NM_009338
ENSMUSG00000062480	Acat3	NM_153151
ENSMUSG00000026499	Acbd3	NM_133225
ENSMUSG00000056938	Acbd4	NM_025988
ENSMUSG00000026781	Acbd5	NM_001102438
ENSMUSG00000026781	Acbd5	NM_001102437
ENSMUSG00000026781	Acbd5	NM_028793
ENSMUSG00000026781	Acbd5	NM_001102436
ENSMUSG00000033701	Acbd6	NM_026683
ENSMUSG00000033701	Acbd6	NM_001145781
ENSMUSG00000033701	Acbd6	NM_028250
ENSMUSG00000040272	Accs	NM_183220
ENSMUSG00000038000	Acd	NM_001012638
ENSMUSG00000020681	Ace	NM_207624
ENSMUSG00000020681	Ace	NM_009598
ENSMUSG00000045019	Acer1	NM_175731
ENSMUSG00000030760	Acer3	NM_025408
ENSMUSG00000023328	Ache	NM_009599
ENSMUSG00000022185	Acin1	NM_001242605
ENSMUSG00000022185	Acin1	NM_001242606
ENSMUSG00000022185	Acin1	NM_023190
ENSMUSG00000022185	Acin1	NM_001085473
ENSMUSG00000022185	Acin1	NM_019567
ENSMUSG00000022185	Acin1	NM_001085472
ENSMUSG00000020917	Acly	NM_001199296
ENSMUSG00000020917	Acly	NM_134037
ENSMUSG00000042505	Acn9	NM_001077713
ENSMUSG00000022477	Aco2	NM_080633
ENSMUSG00000072949	Acot1	NM_012006
ENSMUSG00000047565	Acot10	NM_022816
ENSMUSG00000034853	Acot11	NM_025590
ENSMUSG00000006717	Acot13	NM_025790
ENSMUSG00000021226	Acot2	NM_134188
ENSMUSG00000052392	Acot4	NM_134247
ENSMUSG00000042540	Acot5	NM_145444
ENSMUSG00000043487	Acot6	NM_172580
ENSMUSG00000028937	Acot7	NM_133348
ENSMUSG00000028937	Acot7	NM_001146058
ENSMUSG00000028937	Acot7	NM_001146057
ENSMUSG00000017307	Acot8	NM_133240
ENSMUSG00000025287	Acot9	NM_019736
ENSMUSG00000020777	Acox1	NM_015729
ENSMUSG00000020777	Acox1	NM_001271898
ENSMUSG00000029098	Acox3	NM_030721
ENSMUSG00000044573	Acp1	NM_021330
ENSMUSG00000044573	Acp1	NM_001110239
ENSMUSG00000002103	Acp2	NM_007387
ENSMUSG00000001348	Acp5	NM_001102405
ENSMUSG00000001348	Acp5	NM_001102404
ENSMUSG00000001348	Acp5	NM_007388
ENSMUSG00000028093	Acp6	NM_019800
ENSMUSG00000043587	Acpl2	NM_153420
ENSMUSG00000032561	Acpp	NM_207668
ENSMUSG00000032561	Acpp	NM_019807
ENSMUSG00000012777	Acpt	NM_001195034
ENSMUSG00000032281	Acsbg1	NM_053178
ENSMUSG00000024207	Acsbg2	NM_001039114
ENSMUSG00000076435	Acsf2	NM_153807
ENSMUSG00000032883	Acsl3	NM_028817
ENSMUSG00000032883	Acsl3	NM_001136222
ENSMUSG00000032883	Acsl3	NM_001033606
ENSMUSG00000031278	Acsl4	NM_019477
ENSMUSG00000031278	Acsl4	NM_001033600
ENSMUSG00000031278	Acsl4	NM_207625
ENSMUSG00000024981	Acsl5	NM_027976
ENSMUSG00000030945	Acsm2	NM_001177977
ENSMUSG00000030945	Acsm2	NM_146197
ENSMUSG00000030945	Acsm2	NM_001177978
ENSMUSG00000030935	Acsm3	NM_212442
ENSMUSG00000030935	Acsm3	NM_212441
ENSMUSG00000030935	Acsm3	NM_016870
ENSMUSG00000027605	Acss2	NM_019811
ENSMUSG00000031972	Acta1	NM_001272041
ENSMUSG00000031972	Acta1	NM_009606
ENSMUSG00000035783	Acta2	NM_007392
ENSMUSG00000029580	Actb	NM_007393
ENSMUSG00000062825	Actg1	NM_009609
ENSMUSG00000027671	Actl6a	NM_019673
ENSMUSG00000015143	Actn1	NM_134156
ENSMUSG00000052374	Actn2	NM_033268
ENSMUSG00000054808	Actn4	NM_021895
ENSMUSG00000021076	Actr10	NM_019785
ENSMUSG00000025228	Actr1a	NM_016860
ENSMUSG00000037351	Actr1b	NM_146107
ENSMUSG00000020152	Actr2	NM_146243
ENSMUSG00000037761	Actr5	NM_175419
ENSMUSG00000019948	Actr6	NM_025914
ENSMUSG00000000532	Acvr1b	NM_007395
ENSMUSG00000052155	Acvr2a	NM_007396
ENSMUSG00000000530	Acvrl1	NM_001277255
ENSMUSG00000000530	Acvrl1	NM_001277257
ENSMUSG00000000530	Acvrl1	NM_001277258
ENSMUSG00000000530	Acvrl1	NM_001277259
ENSMUSG00000000530	Acvrl1	NM_009612
ENSMUSG00000023262	Acy1	NM_001276442
ENSMUSG00000023262	Acy1	NM_025371
ENSMUSG00000024866	Acy3	NM_027857
ENSMUSG00000008822	Acyp1	NM_025421
ENSMUSG00000017697	Ada	NM_001272052
ENSMUSG00000017697	Ada	NM_007398
ENSMUSG00000027259	Adal	NM_029475
ENSMUSG00000020926	Adam11	NM_009613
ENSMUSG00000020926	Adam11	NM_001110778
ENSMUSG00000054555	Adam12	NM_007400
ENSMUSG00000052593	Adam17	NM_001277266
ENSMUSG00000052593	Adam17	NM_009615
ENSMUSG00000011256	Adam19	NM_009616
ENSMUSG00000072647	Adam1a	NM_172126
ENSMUSG00000062438	Adam1b	NM_172125
ENSMUSG00000025964	Adam23	NM_011780
ENSMUSG00000025964	Adam23	NM_001177600
ENSMUSG00000014725	Adam28	NM_001048175
ENSMUSG00000014725	Adam28	NM_010082
ENSMUSG00000014725	Adam28	NM_183366
ENSMUSG00000072972	Adam4	NM_009620
ENSMUSG00000025473	Adam8	NM_007403
ENSMUSG00000031555	Adam9	NM_007404
ENSMUSG00000022893	Adamts1	NM_009621
ENSMUSG00000024299	Adamts10	NM_172619
ENSMUSG00000047497	Adamts12	NM_175501
ENSMUSG00000059901	Adamts14	NM_001081127
ENSMUSG00000036545	Adamts2	NM_175643
ENSMUSG00000006403	Adamts4	NM_172845
ENSMUSG00000022894	Adamts5	NM_011782
ENSMUSG00000032363	Adamts7	NM_001003911
ENSMUSG00000031994	Adamts8	NM_013906
ENSMUSG00000030022	Adamts9	NM_175314
ENSMUSG00000036040	Adamtsl2	NM_029981
ENSMUSG00000070469	Adamtsl3	NM_001190374
